Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_Load_Main_Page,50,271,260,284,290,606,248,606,0.000%,.84746,0.96,0.22
02_Load_JS_Bundle,50,162,157,170,189,357,145,357,0.000%,.85413,1.03,0.26
03_User_Login,50,170,159,202,218,381,138,381,0.000%,.85492,0.24,0.23
"04_Book_Appointment""",50,136,132,158,160,201,111,201,0.000%,.85884,0.25,0.52
05_Get_Appointment,50,350,339,401,415,501,287,501,0.000%,.85597,1.60,0.72
TOTAL,250,218,168,340,359,476,111,606,0.000%,4.04786,3.87,1.84
