Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"Light Load - 10 Users"":01_Load_Main_Page",10,292,285,322,322,328,266,328,0.000%,.36646,0.42,0.09
"Light Load - 10 Users"":02_Load_JS_Bundle",10,165,159,186,186,190,150,190,0.000%,.36889,0.44,0.11
"Light Load - 10 Users"":03_User_Login",10,194,165,262,262,282,151,282,0.000%,.36925,0.11,0.10
"Light Load - 10 Users"":04_Book_Appointment""",10,142,130,177,177,195,125,195,0.000%,.37049,0.11,0.23
"Light Load - 10 Users"":05_Get_Appointment",10,349,339,369,369,416,320,416,0.000%,.36657,0.68,0.31
TOTAL,50,229,190,339,350,416,125,416,0.000%,1.65404,1.58,0.75
